tavg,tmin,tmax,wind,globrad,precip,relhumid,de-date
-7.734999999999999,-11.826666666666668,-4.078333333333333,3.551666666666667,6.081666666666667,0.8316666666666667,96.355,15.02.2016
-9.653333333333334,-13.219999999999999,-6.536666666666666,4.316666666666666,6.716666666666666,1.2699999999999998,95.19666666666667,16.02.2016
-10.799999999999999,-14.875,-7.243333333333333,2.9616666666666664,8.42,1.0383333333333333,94.565,17.02.2016
-12.311666666666667,-16.44666666666667,-7.864999999999999,2.985,9.518333333333333,0.33,95.66666666666667,18.02.2016
-10.27,-14.271666666666667,-6.335,3.3216666666666668,8.863333333333333,0.18333333333333335,95.53166666666668,19.02.2016
-8.92,-13.506666666666666,-5.256666666666667,3.3066666666666666,9.001666666666667,1.7216666666666667,96.15666666666668,20.02.2016
-6.329999999999999,-9.35,-3.623333333333333,2.776666666666667,7.738333333333333,1.4016666666666666,95.96,21.02.2016
-6.45,-9.45,-3.556666666666666,4.078333333333333,7.823333333333333,1.0050000000000001,95.05333333333333,22.02.2016
-7.783333333333334,-11.895000000000001,-3.893333333333333,4.193333333333333,9.293333333333333,0.6683333333333333,95.03333333333335,23.02.2016
-7.199999999999999,-10.839999999999998,-3.2100000000000004,3.768333333333333,10.825000000000001,0.9049999999999999,94.96,24.02.2016
-8.055,-12.020000000000001,-3.7566666666666664,3.095,10.854999999999999,0.3433333333333333,94.80333333333333,25.02.2016
-8.2,-12.555,-3.373333333333333,2.953333333333333,10.406666666666666,0.4466666666666667,95.32000000000001,26.02.2016
-6.801666666666666,-11.020000000000001,-2.8033333333333332,3.81,10.68,1.4216666666666666,95.31166666666667,27.02.2016
-6.086666666666666,-10.345,-2.5500000000000003,3.513333333333333,9.731666666666667,0.46166666666666667,96.19833333333334,28.02.2016
-3.88,-5.9,-1.51,5.41,10.0,0.75,96.5,29.02.2016
-6.041666666666667,-9.241666666666667,-2.63,3.4316666666666666,8.57,0.5383333333333334,94.76166666666666,01.03.2016
-5.6866666666666665,-9.99,-1.9883333333333333,2.6133333333333333,8.885,0.775,94.28166666666668,02.03.2016
-5.805,-10.323333333333332,-1.9983333333333333,3.4166666666666665,9.155,1.1083333333333334,95.31166666666667,03.03.2016
-4.808333333333334,-9.22,-1.2066666666666668,3.385,8.903333333333334,2.126666666666667,95.18666666666667,04.03.2016
-5.068333333333333,-8.165000000000001,-2.018333333333333,3.311666666666667,9.898333333333333,0.9366666666666666,94.605,05.03.2016
-4.526666666666666,-8.048333333333334,-1.2466666666666666,3.606666666666667,10.725,0.8166666666666668,95.00999999999999,06.03.2016
-5.069999999999999,-8.313333333333333,-1.9549999999999998,4.13,11.961666666666666,0.6716666666666667,94.38499999999999,07.03.2016
-7.678333333333334,-13.636666666666668,-2.6483333333333334,2.705,14.46,0.14666666666666667,90.94833333333334,08.03.2016
-7.7683333333333335,-12.31,-2.3066666666666666,3.0050000000000003,14.219999999999999,0.07166666666666667,92.24000000000001,09.03.2016
-6.271666666666667,-10.6,-0.7833333333333335,2.7716666666666665,13.236666666666666,0.13833333333333334,92.53333333333335,10.03.2016
-5.18,-8.799999999999999,-0.6016666666666667,3.816666666666667,13.786666666666667,1.4116666666666668,93.61500000000001,11.03.2016
-3.6199999999999997,-7.0683333333333325,-0.18166666666666662,3.9683333333333333,10.948333333333332,1.2283333333333333,94.46666666666665,12.03.2016
-2.131666666666667,-5.763333333333333,1.4883333333333333,4.248333333333334,12.896666666666667,0.6266666666666667,93.41833333333334,13.03.2016
