Latitude,Longitude,Layer_top_cm,Layer_bottom_cm,Organic Carbon (%),pH,Bulk Density (g/cm3),"Clay, (%)","Silt, (%)","Coarse, (%)","Sand, (%)",Ks (cm/h),Field Capacity,Wilting point,Wmax,Wmin
51.88798016879423,37.83376558053923,35.0,68.33333333333333,3.49,6.683333333333334,1.2866666666666666,27.849999999999998,44.93333333333334,9.35,27.216666666666665,1.1325788471726854,0.34691748938961237,0.15875334371972116,0.44814832659752807,0.005583328490913136
51.888390929170136,37.74185647175301,35.0,68.33333333333333,4.386666666666667,6.6000000000000005,1.3016666666666665,28.416666666666668,36.18333333333334,9.416666666666666,35.4,1.1457060813949906,0.33477052247719974,0.16063006017114534,0.4454897896846754,0.007065109772218476
51.88926509300741,37.52352218464783,35.0,68.33333333333333,3.766666666666667,6.683333333333334,1.265,27.366666666666664,44.166666666666664,9.016666666666666,28.46666666666667,1.280371677334933,0.34865268905376695,0.15814677263282956,0.4529790312507984,0.005659893104471255
51.890819398253036,37.768610602413496,35.0,68.33333333333333,3.23,6.6000000000000005,1.2916666666666667,27.0,42.25,7.716666666666666,30.75,1.190111220261767,0.3399936355876135,0.15661784334492526,0.4449361457567245,0.006029761085839909
51.89145359564273,37.498485840632476,35.0,68.33333333333333,3.5749999999999997,6.75,1.2933333333333332,29.483333333333334,42.266666666666666,8.65,28.25,1.0529058276270182,0.34627165696519,0.16319117630816918,0.4497865355560983,0.0059874587115926565
51.89454833702805,37.8687257963941,35.0,68.33333333333333,3.7516666666666665,6.7,1.2566666666666666,26.616666666666664,43.81666666666666,9.033333333333333,29.566666666666666,1.2404114985722714,0.346659067340856,0.15567708767355828,0.45251659442439757,0.005662505627846239
51.89639443199297,37.48172163032757,35.0,68.33333333333333,3.6366666666666667,6.716666666666666,1.3033333333333335,29.53333333333333,43.81666666666666,8.15,26.649999999999995,1.0009403301684465,0.3466902700937971,0.16310514779683785,0.44770642420299117,0.005783976114398068
51.899241010081134,37.39969315313492,35.0,68.33333333333333,3.4000000000000004,6.7,1.2750000000000001,29.166666666666668,45.0,10.283333333333333,25.833333333333332,1.1483396576810787,0.3527278834949397,0.16283077300550988,0.4545637171848514,0.00553812921906265
51.8993524160787,37.83693956967528,35.0,68.33333333333333,3.6650000000000005,6.6499999999999995,1.285,28.933333333333337,43.61666666666667,9.016666666666667,27.450000000000006,1.0964056774150936,0.34857629148235675,0.16162221428152249,0.4505466690134452,0.005769875470764885
51.900412111164336,37.77266415023391,35.0,68.33333333333333,3.358333333333333,6.666666666666667,1.305,26.900000000000002,40.949999999999996,8.0,32.15,1.0409292167696076,0.3348109821410766,0.1557065716266193,0.4410043412859712,0.006275083730300494
51.901105704869636,37.78453104133845,35.0,68.33333333333333,3.3249999999999997,6.6499999999999995,1.29,26.416666666666668,46.23333333333333,8.65,27.349999999999998,1.1063405026004622,0.3435776919276798,0.15429665983026045,0.44422314441727134,0.005427417784383686
51.9013683893875,37.75586883745399,35.0,68.33333333333333,3.1683333333333334,6.5,1.3266666666666667,25.866666666666664,35.56666666666667,8.283333333333333,38.56666666666667,1.0551284760959732,0.3215148647180602,0.15251815653014872,0.43424086058065353,0.007405237559385617
51.90402328754756,37.81903098563939,35.0,68.33333333333333,3.4683333333333337,6.633333333333333,1.2883333333333333,31.150000000000002,40.13333333333333,9.549999999999999,28.71666666666667,1.0419493932785087,0.3493582279762914,0.16767896070537894,0.4543273294670918,0.0063148978315825735
51.905281939846276,37.799052506157636,35.0,68.33333333333333,3.3383333333333334,6.616666666666667,1.28,28.833333333333332,42.449999999999996,8.85,28.71666666666667,1.0934416208642423,0.34716470708614106,0.16168224372098744,0.45200013476148054,0.005934808327311605
51.909319091218215,37.84140419103438,35.0,68.33333333333333,4.1883333333333335,6.6499999999999995,1.2716666666666667,31.96666666666667,40.06666666666667,9.65,27.96666666666667,1.191396196553849,0.3549532623377554,0.17075900831884264,0.4609212596992915,0.00628293863062939
